2023-04-06 10:32:00, Buy, 21, 4500
2023-04-06 10:35:00, Sell, 20, 4700
2023-04-06 10:37:00, Buy, 21, 4900
2023-04-06 10:39:00, Buy, 11, 4500
2023-04-06 10:43:00, Sell, 10, 4700
2023-04-06 10:45:00, Buy, 21, 4700
2023-04-06 10:55:00, Sell, 10, 4700
2023-04-06 11:03:00, Sell, 11, 4700
2023-04-06 11:20:00, Buy, 21, 4500
2023-04-06 11:22:00, Sell, 10, 4600
2023-04-06 11:28:00, Sell, 20, 5000
2023-04-06 11:38:00, Buy, 21, 4600
2023-05-05 13:12:00, Sell, 0, 29212.69
2023-05-05 13:16:00, Sell, 0, 29186.99
2023-05-05 13:20:00, Sell, 0, 29172.3
